LakeName,Year,ResidentialCount,AgriculturalCount,CommercialCount,IndustrialCount,PublicCount,AvgSeasonalLakeGrade,AvgSecchiDepth,AvgPhosphorus,ResidentialProportion,AgriculturalProportion,CommercialProportion,IndustrialProportion,PublicProportion,TotalCount
Acorn Lake,2009,8968,11,0,27,561,#N/A,0.914166667,0.043333333,0.937388941,0.001149786,0,0.002822201,0.058639072,9567
Alice Lake,2009,1167,14,0,0,206,#N/A,#N/A,#N/A,0.841384283,0.010093727,0,0,0.14852199,1387
Alimagnet Lake,2009,5257,0,89,0,2,1,0.705,0.0972,0.982984293,0,0.016641735,0,0.000373972,5348
Anderson Pond,2009,2442,0,113,10,4,#N/A,#N/A,#N/A,0.950564422,0,0.043985987,0.003892565,0.001557026,2569
Ann Lake,2009,1611,8,0,16,84,3,#N/A,#N/A,0.937172775,0.004653869,0,0.009307737,0.04886562,1719
Ardmore Lake,2009,693,20,70,8,14,0,0.470714286,0.230714286,0.860869565,0.02484472,0.086956522,0.009937888,0.017391304,805
Armstrong Lake,2009,4572,20,8,0,465,2,1.114285714,0.058928571,0.90266535,0.003948667,0.001579467,0,0.091806515,5065
Assumption Lake,2009,34,216,0,0,3,#N/A,#N/A,#N/A,0.134387352,0.853754941,0,0,0.011857708,253
Auburn Lake,2009,112,15,0,0,3,#N/A,#N/A,#N/A,0.861538462,0.115384615,0,0,0.023076923,130
Aue Lake,2009,113,106,0,0,4,#N/A,#N/A,#N/A,0.506726457,0.475336323,0,0,0.01793722,223
Bald Eagle Lake,2009,1434,0,0,0,108,#N/A,#N/A,#N/A,0.929961089,0,0,0,0.070038911,1542
Baldwin Lake,2009,2114,20,58,4,161,#N/A,#N/A,#N/A,0.896902843,0.008485363,0.024607552,0.001697073,0.06830717,2357
Barker Lake,2009,153,119,0,0,14,#N/A,1.458857143,0,0.534965035,0.416083916,0,0,0.048951049,286
Barnes Lake,2009,186,54,0,0,21,#N/A,#N/A,#N/A,0.712643678,0.206896552,0,0,0.08045977,261
Bass Lake,2009,340,103,0,0,14,3,1.939969697,0.049384615,0.743982495,0.225382932,0,0,0.030634573,457
Battle Creek Lake,2009,3687,12,0,2,318,#N/A,#N/A,#N/A,0.917392386,0.002985817,0,0.000497636,0.07912416,4019
Bavaria Lake,2009,2281,41,0,0,105,3,2.1,0.040857143,0.939843428,0.016893284,0,0,0.043263288,2427
Bay Pond,2009,1084,94,0,0,37,0,0.37,0.365571429,0.89218107,0.077366255,0,0,0.030452675,1215
Benton Lake,2009,731,93,0,19,51,0,0.271428571,0.180785714,0.817673378,0.104026846,0,0.021252796,0.05704698,894
Benz Lake,2009,161,34,0,0,9,1,1.295357143,0.084285714,0.789215686,0.166666667,0,0,0.044117647,204
Berliner Lake,2009,1349,286,0,16,80,#N/A,#N/A,#N/A,0.779318313,0.165222415,0,0.009243212,0.04621606,1731
Beutel Pond,2009,2470,22,0,0,200,#N/A,0.7012,0.0638,0.917533432,0.008172363,0,0,0.074294205,2692
Big Carnelian Lake,2009,627,29,0,0,24,#N/A,5.822181818,0.238833333,0.922058824,0.042647059,0,0,0.035294118,680
Big Marine Lake,2009,79,30,0,0,110,#N/A,4.107777778,0.0205,0.360730594,0.136986301,0,0,0.502283105,219
Big Woods Lake,2009,142,16,0,106,64,#N/A,#N/A,#N/A,0.432926829,0.048780488,0,0.323170732,0.195121951,328
Birch Lake,2009,6187,39,13,107,520,#N/A,#N/A,#N/A,0.901106904,0.005680163,0.001893388,0.015584037,0.075735508,6866
Bone Lake,2009,329,68,0,0,21,2,1.808333333,0.039416667,0.78708134,0.162679426,0,0,0.050239234,418
Brand Lake,2009,1062,190,0,9,156,#N/A,#N/A,#N/A,0.749470713,0.134086097,0,0.006351447,0.110091743,1417
Braunworth Lake,2009,404,48,0,2,29,#N/A,#N/A,#N/A,0.836438923,0.099378882,0,0.004140787,0.060041408,483
Brick Pond,2009,2899,3,0,28,308,2,0.783714286,0.073,0.895305744,0.000926498,0,0.008647313,0.095120445,3238
Brickyard Clayhole Lake,2009,1697,4,0,8,152,4,3.842857143,0.022909091,0.911875336,0.002149382,0,0.004298764,0.081676518,1861
Bryant Lake,2009,665,0,129,42,8,#N/A,#N/A,#N/A,0.787914692,0,0.152843602,0.049763033,0.009478673,844
Burandt Lake,2009,4606,48,0,52,248,#N/A,0.575,0.044,0.929753734,0.00968914,0,0.010496568,0.050060557,4954
Bush Lake,2009,12682,0,155,114,417,4,3.2,0.016538462,0.948683423,0,0.011594853,0.008527828,0.031193896,13368
Byllesby Lake,2009,3211,1809,156,36,8,#N/A,#N/A,#N/A,0.6151341,0.346551724,0.029885057,0.006896552,0.001532567,5220
Calhoun Lake,2009,6537,0,3006,1566,20,#N/A,#N/A,#N/A,0.587384311,0,0.270105131,0.140713451,0.001797107,11129
Campbell Lake,2009,256,337,0,0,4,#N/A,#N/A,#N/A,0.42881072,0.564489112,0,0,0.006700168,597
Capaul Pond,2009,197,26,0,0,19,#N/A,0.823,0.1426,0.814049587,0.107438017,0,0,0.078512397,242
Carol Lake,2009,247,46,0,0,10,#N/A,1.295333333,0,0.815181518,0.151815182,0,0,0.0330033,303
Carver Lake,2009,10039,8,0,57,517,#N/A,#N/A,#N/A,0.9452029,0.000753225,0,0.005366726,0.048677149,10621
Cedar Island Lake,2009,2356,0,355,113,25,0,0.327272727,0.323818182,0.826956827,0,0.124605125,0.03966304,0.008775009,2849
Cenaiko Lake,2009,22679,6,569,324,1063,3,1.954545455,0.021923077,0.920376608,0.000243497,0.023091595,0.013148817,0.043139483,24641
Centerville Lake,2009,948,21,23,16,225,#N/A,1.9,0.0445,0.768856448,0.01703163,0.01865369,0.01297648,0.182481752,1233
Charley Lake,2009,2353,0,0,4,147,#N/A,#N/A,#N/A,0.939696486,0,0,0.001597444,0.05870607,2504
Christmas Lake,2009,6957,0,352,23,187,#N/A,#N/A,#N/A,0.925256018,0,0.046814736,0.003058917,0.024870329,7519
Chub Lake,2009,3634,1488,139,23,4,#N/A,#N/A,#N/A,0.687216339,0.281391831,0.02628593,0.00434947,0.00075643,5288
Clear Lake,2009,5757,236,83,2,475,4,3.736461538,0.222071429,0.878528918,0.036014039,0.012665955,0.000305204,0.072485884,6553
Cloverdale Lake,2009,501,0,0,0,24,3,2.872727273,0.042818182,0.954285714,0,0,0,0.045714286,525
Cobblecrest Lake,2009,6079,0,247,59,71,0,0.285,0.1738,0.941604709,0,0.038258984,0.009138786,0.010997522,6456
Cobblestone Lake,2009,10631,135,367,49,4,2,1.058333333,0.035615385,0.950384409,0.012068657,0.032808868,0.004380476,0.00035759,11186
Colby Lake,2009,9463,34,2,0,280,#N/A,0.533333333,0.125333333,0.967685857,0.003476838,0.00020452,0,0.028632785,9779
Coon Lake,2009,2431,181,397,8,614,#N/A,1,0.042,0.669512531,0.049848527,0.109336271,0.00220325,0.169099422,3631
Cornelia Lake,2009,3227,0,134,26,42,1,0.564285714,0.113428571,0.941090697,0,0.039078449,0.007582386,0.012248469,3429
Courthouse Lake,2009,740,10,0,36,120,4,4.064285714,0.022538462,0.816777042,0.011037528,0,0.039735099,0.132450331,906
Cowley Lake,2009,3863,73,239,155,42,#N/A,0.4,1.095,0.88357731,0.016697164,0.054666057,0.035452882,0.009606587,4372
Crane Lake,2009,3815,0,194,14,54,#N/A,#N/A,#N/A,0.935737062,0,0.047584008,0.003433897,0.013245033,4077
Crooked Lake,2009,33594,219,1722,470,2191,#N/A,#N/A,#N/A,0.87951618,0.005733585,0.045083255,0.012304953,0.057362027,38196
Crystal Lake,2009,1734,0,16,0,0,3,2.273333333,0.030533333,0.990857143,0,0.009142857,0,0,1750
Dan Patch Lake,2009,415,0,4,4,4,#N/A,#N/A,#N/A,0.971896956,0,0.009367681,0.009367681,0.009367681,427
DeMontreville Lake,2009,239,10,0,0,33,3,3.038461538,0.022,0.84751773,0.035460993,0,0,0.117021277,282
Deeg Lake,2009,9363,0,404,56,9,#N/A,#N/A,#N/A,0.952298617,0,0.041090317,0.005695688,0.000915378,9832
Deep Lake,2009,742,59,0,0,63,#N/A,#N/A,#N/A,0.858796296,0.068287037,0,0,0.072916667,864
Diamond Lake,2009,1382,64,148,204,136,#N/A,#N/A,#N/A,0.714581179,0.033092037,0.076525336,0.105480869,0.070320579,1934
Downs Lake,2009,361,12,0,0,25,0,0.311111111,0.221777778,0.907035176,0.030150754,0,0,0.06281407,398
DuBay Lake,2009,3758,112,62,39,68,#N/A,#N/A,#N/A,0.930428324,0.027729636,0.015350334,0.009655855,0.01683585,4039
Duck Lake,2009,5096,0,43,4,127,#N/A,#N/A,#N/A,0.966982922,0,0.008159393,0.000759013,0.024098672,5270
