lake_name,yr,qlty
Crane Lake,1993,3.0
Cenaiko Lake,1998,4.0
Cenaiko Lake,2010,3.0
Cenaiko Lake,2002,4.0
Cenaiko Lake,2003,4.0
Cenaiko Lake,2001,3.0
Cenaiko Lake,1997,3.0
Cenaiko Lake,2008,3.0
Cenaiko Lake,2007,4.0
Cenaiko Lake,2009,3.0
Cenaiko Lake,2000,4.0
Cenaiko Lake,2005,4.0
Cenaiko Lake,1999,4.0
Cenaiko Lake,2004,4.0
Cenaiko Lake,2006,4.0
Cenaiko Lake,2012,3.0
Cenaiko Lake,2011,3.0
Lac Lavon Lake,2002,4.0
Lac Lavon Lake,2004,4.0
Lac Lavon Lake,2008,3.0
Lac Lavon Lake,1997,4.0
Lac Lavon Lake,2009,4.0
Lac Lavon Lake,2012,4.0
Lac Lavon Lake,2007,4.0
Lac Lavon Lake,2010,4.0
Lac Lavon Lake,1999,4.0
Lac Lavon Lake,1998,4.0
Lac Lavon Lake,2011,3.0
Lac Lavon Lake,2005,4.0
Lac Lavon Lake,2013,4.0
Lac Lavon Lake,2014,4.0
Lac Lavon Lake,2000,4.0
Lac Lavon Lake,2003,4.0
Lac Lavon Lake,2001,4.0
Lac Lavon Lake,2006,4.0
McKusick Lake,1999,1.0
McKusick Lake,2003,2.0
McKusick Lake,2013,2.0
McKusick Lake,2000,3.0
McKusick Lake,1994,1.0
McKusick Lake,2002,2.0
McKusick Lake,2014,2.0
McKusick Lake,2011,2.0
McKusick Lake,2008,2.0
McKusick Lake,1998,1.0
McKusick Lake,1995,1.0
McKusick Lake,1996,1.0
McKusick Lake,1997,2.0
McKusick Lake,2006,2.0
McKusick Lake,2007,2.0
McKusick Lake,2004,3.0
McKusick Lake,2010,3.0
McKusick Lake,2001,3.0
McKusick Lake,2012,3.0
McKusick Lake,2005,2.0
McKusick Lake,2009,3.0
St. Joe Lake,2006,3.0
St. Joe Lake,2011,4.0
St. Joe Lake,2012,4.0
St. Joe Lake,2009,3.0
St. Joe Lake,2005,4.0
St. Joe Lake,2010,4.0
St. Joe Lake,2007,4.0
St. Joe Lake,2014,4.0
St. Joe Lake,2004,4.0
St. Joe Lake,2008,4.0
Colby Lake,1995,0.0
Colby Lake,2006,0.0
Colby Lake,2013,1.0
Colby Lake,1994,1.0
Colby Lake,2000,1.0
Colby Lake,2011,1.0
Colby Lake,1998,0.0
Colby Lake,2008,0.0
Colby Lake,2012,1.0
Colby Lake,2005,1.0
Colby Lake,1996,0.0
Colby Lake,1997,1.0
Colby Lake,1999,1.0
Colby Lake,2002,1.0
Colby Lake,2010,1.0
Colby Lake,2007,1.0
Colby Lake,2014,1.0
Colby Lake,2001,0.0
Colby Lake,2004,1.0
Colby Lake,2003,0.0
Valley Lake,2006,1.0
Valley Lake,2011,2.0
Valley Lake,2005,2.0
Valley Lake,2010,1.0
Valley Lake,1996,1.0
Valley Lake,1997,2.0
Valley Lake,2012,2.0
Valley Lake,2004,2.0
Valley Lake,2013,0.0
Valley Lake,2014,2.0
Valley Lake,2001,3.0
Valley Lake,1995,1.0
Valley Lake,2007,2.0
Valley Lake,2009,3.0
Valley Lake,2002,3.0
Valley Lake,2000,2.0
Valley Lake,2003,3.0
Valley Lake,2008,2.0
McKnight Lake,2010,0.0
McKnight Lake,2006,0.0
McKnight Lake,2014,1.0
McKnight Lake,2013,1.0
McKnight Lake,2012,0.0
McKnight Lake,2009,0.0
McKnight Lake,2008,0.0
McKnight Lake,2011,0.0
Kingsley Lake,2008,4.0
Kingsley Lake,2000,4.0
Kingsley Lake,2006,3.0
Kingsley Lake,2010,4.0
Kingsley Lake,2005,4.0
Kingsley Lake,2001,3.0
Kingsley Lake,2009,4.0
Kingsley Lake,2007,4.0
Kingsley Lake,2011,4.0
Kingsley Lake,1996,4.0
Kingsley Lake,2004,4.0
Kingsley Lake,1997,4.0
Kingsley Lake,2002,4.0
Kingsley Lake,1995,3.0
Kingsley Lake,2003,3.0
Kingsley Lake,1993,4.0
Kingsley Lake,2014,4.0
Hornbean Lake,2007,2.0
Hornbean Lake,2006,2.0
Hornbean Lake,2008,3.0
Powers Lake,1997,3.0
Powers Lake,2010,2.0
Powers Lake,2012,4.0
Powers Lake,1998,2.0
Powers Lake,1996,4.0
Powers Lake,2013,4.0
Powers Lake,1999,4.0
Powers Lake,2009,3.0
Powers Lake,2008,3.0
Powers Lake,2002,2.0
Powers Lake,1995,3.0
Powers Lake,2003,3.0
Powers Lake,2006,2.0
Powers Lake,2014,3.0
Powers Lake,2005,2.0
Powers Lake,2011,2.0
Powers Lake,1994,4.0
Powers Lake,2007,2.0
